,en,fr
MISSION_DESR_AIRPLANE,"Thanks to the airport equipment,"Grâce à l'équipement de l'aéroport
MISSION_DESR_AIRPORT_PT_1,"Fighting between our militia and the government forces is not going as good as we would hope. We need to show the world,"Les combats entre notre milice et les forces gouvernementales ne se déroulent pas aussi bien que prévus. Nous devons montrer au monde que nous ne baissons pas pour autant les bras. L'aéroport voisin n'a pas d'importance stratégique
MISSION_DESR_AIRPORT_PT_2,"The rebel forces have scattered after loosing their local HQ. The Airport is still heavily guarded,"Les forces rebelles se sont dispersées après la perte de leur QG local. L'aéroport est toujours fortement gardé
MISSION_DESR_AIRPORT_PT_3,"It has been months since we started fighting over this wretched airport. It is hardly an airport anymore either,"Cela fait des mois que nous nous battons pour cet aéroport de malheur. Ce n'est d'ailleurs plus vraiment un aéroport
MISSION_DESR_BASE_ASSAULT,"Our recent victory gave us a foothold,"Notre récente victoire nous a donné confiance
MISSION_DESR_BASE_DEFENCE,"Alert! Rebels are attacking one of our military bases in the eastern region! We must not allow them to capture any more of our assets. Defend the base and destroy the rebel forces in the region.","Alerte ! Les rebelles attaquent une de nos bases militaires à l'est du pays ! Nous devons les empêcher de capturer une autre de nos positions stratégiques. Défendez la base et éliminez les forces rebelles dans la région."
MISSION_DESR_CONVOY,"In this time of war many people are suffering. Our kind neighbour offered to send us humanitarian convoy with food,"En ces temps de guerre
MISSION_DESR_CRASH_SITE,"The Plane we attacked went down deep within the forest. We must not allow anyone to reach the crash site. Without the wreckage,"L'avion que nous avons abattu s'est écrasé dans la forêt. Personne ne doit pouvoir rejoindre le site du crash
MISSION_DESR_EASTERN_CITY,"Even though the events of Mayday Square allowed for relatively peacefull change of government,"Même si les événements du square Mayday ont permis un changement relativement pacifique de gouvernement
MISSION_DESR_FIELD_COMMAND,"These separatists just shot down a civilian airplane,"Ces séparatistes viennent juste de détruire un avion civil
MISSION_DESR_MAYDAY_SQUARE,"After days of protests,"Après des jours de protestation
MISSION_DESR_PENINSULA,"Days of fighting are finnally paying off. Now we have the support of our strong neighbouring country. We are ready to push the usurpers out of the peninsula. When we succeed,"Ces derniers jours de combat ont été payants. Nous avons maintenant le soutien de notre puissant pays voisin. Nous sommes prêt à expulser les usurpateurs de la péninsule. Si nous y parvenons
MISSION_DESR_RECAPTURE,"Situation is deteriorating quickly. We have to start pushing back,"La situation se détériore rapidement. Nous devons les repousser sous peine de perdre tout ce que nous avons gagné jusqu'ici. Nous sommes prêt à libérer la ville où se trouvent les rebelles. Montrons leurs que de simples bandits ne font pas le poids face à notre armée."
MISSION_DESR_RIOTS,"Current government came to power by attacking our dear leader! And they dare to call us the rebels! New authorities are still weak. We should use this opportunity to take over key administration offices. Our forces are standing by and awaiting your orders!","L'actuel gouvernement est arrivé au pouvoir en attaquant notre bien aimé leader ! Et ils osent nous qualifier de rebelles ! Les nouvelles autorités sont encore très faibles. Nous devons exploiter cette opportunité pour prendre le contrôle des administrations. Nos forces attendent vos ordres !"
